comparison,mean_diff,ci_lo,ci_hi,t,p_t,W,p_wilcoxon,cohens_dz,p_t_holm,p_wilcoxon_holm
Proposed adaptive AI vs Glucose-only,-1.0506699999450595,-1.1187769283297104,-0.9865353610171461,-32.287659116323105,4.76343373597454e-81,0.0,1.4361464127613523e-34,-2.283082270979172,9.52686747194908e-81,5.744585651045409e-34
Proposed adaptive AI vs Metal supplementation,-1.0606075775788328,-1.125846712197602,-0.9996549180111683,-34.14293552206852,3.8391625395269425e-85,0.0,1.4361464127613523e-34,-2.4142701237269706,1.535665015810777e-84,5.744585651045409e-34
Proposed adaptive AI vs Fixed-gain PID,0.001807842733998728,0.0010282475778521,0.0026601341339869402,4.276223339778035,2.9488389636244946e-05,6916.0,0.00013129679921205421,0.30237465214252346,2.9488389636244946e-05,0.00013129679921205421
Proposed adaptive AI vs Model-based LQR (no adaptation),-0.017158366017918633,-0.018156721003112476,-0.016145201505383552,-32.476877934304284,1.7908807983405687e-81,0.0,1.4361464127613523e-34,-2.2964620619114307,5.372642395021706e-81,5.744585651045409e-34
