Strategy,SSE_Zn,SSE_Zn_sd,SSE_Ca,SSE_Ca_sd,SSE_Mg,SSE_Mg_sd,Overshoot,Overshoot_sd,Settle,Effort,Effort_sd,Eta,Eta_sd,EtaU,EtaU_sd,EtaVar,dHOMA,dHOMA_lo,dHOMA_hi,dIR,dIR_lo,dIR_hi,dIR_lowMg,dIR_lowMg_lo,dIR_lowMg_hi,dHOMA_lowMg,dHOMA_lowMg_lo,dHOMA_lowMg_hi
Glucose-only,13.169757026586591,10.118972631036302,0.3553210568481371,0.27047116062922405,132.30474424773186,103.14735389849541,0.0,0.0,,0.0,0.0,95.84798599344104,2.849627031967847,94.9628287029973,4.278666645792654,2.337513313742965,0.12836920227678794,-9.501311199562794,10.827549079987374,0.2164893063131323,-12.102044447634956,14.292736895924008,0.1979969737048698,-12.647159280031715,15.061316408194333,0.13276070792129216,-9.683825139297639,11.501874043203514
Metal supplementation,13.29134954027378,10.145311657270238,0.357593381594227,0.26892867090048533,132.5075454079339,104.44962809375255,0.0,0.0,227.20000000000002,0.016852666161431634,0.0,95.69401906305757,2.921835805998593,94.84490510858846,4.330173370155659,2.3445382118022056,-0.8585540735446883,-10.95741511065482,9.218085482052727,-1.152211272064713,-13.916710578896431,12.319424892031796,-1.0950949518570845,-15.03162805343772,13.964056179156035,-0.7840421572736568,-11.59293493968624,10.238941230859965
Fixed-gain PID,0.29202854912632925,0.24131962524348902,0.014571583307884682,0.012755707991186027,2.8544749849396474,2.3938727621210965,8.11705141547197,4.031053498139384,65.618,12.77713184843417,2.9301358640078545,99.52369794162408,0.09099231740782089,99.3610895714822,0.2937610949156317,0.2626831596310042,-0.04089556621928705,-11.453329971576673,9.906900691085916,0.017477426946548046,-14.019193806801422,12.595048744959026,-3.4120600996264066,-15.56979359044524,10.316381390906136,-1.4715939564787819,-11.339792229625921,10.235616147274959
Proposed adaptive AI,0.31414864221933353,0.2536800937679918,0.017275802599654024,0.01448819845414735,3.1377462595075984,2.4199692853269283,4.7688249932975735,3.501822084530874,75.926,13.58540101897552,3.228559931125975,99.55657209692073,0.07423840516048881,99.39431128975768,0.27685434219601585,0.2449574155109853,-0.043798775039734665,-11.449717638326742,9.960614734884778,0.011842050467191332,-13.921071209002802,12.395905289005853,-3.4083771546608923,-15.371897333583314,10.216911434943727,-1.4739905210958173,-11.333262878346051,10.161584242211449
Model-based LQR (no adaptation),0.5240920440995922,0.42401178291987723,0.025302287105311183,0.021294813286129456,5.054512490209448,4.150457622172848,5.830199363390556,3.85019254484447,95.72400000000002,9.845286793544222,2.2566509183787327,99.50961449692942,0.09860741207474637,99.34635336768763,0.30766147192963056,0.270539658656811,-0.05025199731857685,-11.449750500386148,9.743422553519325,0.0023960152131734655,-13.943213655716141,12.47163147821582,-3.401601269172801,-15.497855144044161,10.09015922086403,-1.4762190526678594,-11.56717493601218,10.162299714670791
