variant,n,lambda_,ci_lo,ci_hi,pearson_r,r2_pct,p
mean of available recalls,2386,0.12357543454283398,0.08503796566724134,0.1633415923843056,0.12357543454283394,1.5270888022450235,1.3927520513489986e-09
two-day recalls only,2138,0.13943087098958282,0.0960872837563896,0.18270015170700715,0.13943087098958282,1.9440967784913685,9.483889628009522e-11
energy-adjusted density,2388,0.07564208561422683,0.037592647123605404,0.1173410369255644,0.07564208561422675,0.572172511607001,0.00021578611374326278
