model,cv_r2,cv_sd,test_r2,test_rmse,test_mae,spearman
Linear (OLS),0.09468561676656528,0.045056024313071104,-0.05854453371802748,0.6344250139609745,0.4928623515335155,0.0966474078002298
Ridge (GCV),0.10199893658970842,0.03301189702711368,-0.03052551892693489,0.6259722866605889,0.48721999036751934,0.06996371514688812
Gradient boosting,0.040840790530325986,0.05395782166458766,-0.17283177910516745,0.6677956620144593,0.5175285065477346,0.015638618090069802
"MLP (32,16)",-0.39783097867503725,0.28590656145972015,-0.4854599334553933,0.7515470979642593,0.5870034028821084,0.005988035949588565
"MLP, permuted labels (control)",,,-0.4514927275038054,0.7429047977992491,0.5837155831262666,-0.0005463097709974845
